# Time (day)    radial velocity (m/s)    error (m/s)
# ----------    --------------------    ----------
1.5994e+00 6.4757e-01 6.4836e-01
2.9837e+00 -7.8698e-01 1.6324e+00
5.6724e+00 1.4336e+00 6.7248e-01
5.8402e+00 2.0191e+00 8.7842e-01
6.2998e+00 1.5551e-01 9.5295e-01
8.6666e+00 2.4165e-01 1.9205e+00
9.7055e+00 -2.3006e+00 9.1043e-01
9.7331e+00 -1.8765e+00 8.3194e-01
1.3466e+01 2.4298e+00 1.2772e+00
1.6798e+01 -2.1176e+00 4.3372e-01
2.2254e+01 -5.8470e-01 9.5348e-01
2.3468e+01 -1.3751e+00 6.5766e-01
2.3744e+01 3.0552e+00 2.2768e+00
2.3933e+01 -8.0478e-01 7.3384e-01
2.4130e+01 4.0295e-01 9.6144e-01
2.6670e+01 3.9082e+00 1.0734e+00
3.2741e+01 2.4861e+00 8.4457e-01
3.3053e+01 1.6519e+00 1.4368e+00
3.4940e+01 -2.0098e+00 1.6085e+00
3.6428e+01 -2.7228e+00 7.6313e-01
3.7571e+01 3.7726e-01 8.7394e-01
4.7354e+01 -2.2552e+00 1.7318e+00
4.9045e+01 -1.4444e+00 1.0280e+00
5.5150e+01 -2.2118e+00 7.1358e-01
5.6031e+01 -1.0245e+00 1.4315e+00
5.6084e+01 -1.1150e+00 1.2092e+00
5.6631e+01 -2.9499e+00 9.1071e-01
5.7139e+01 -8.0645e-01 7.4126e-01
5.8660e+01 1.8659e+00 2.3287e-01
6.2780e+01 -1.7027e+00 5.1601e-01
6.4469e+01 1.9908e+00 8.6902e-01
6.6651e+01 -1.9691e+00 1.1514e+00
6.9328e+01 -8.6527e-01 8.4165e-01
7.0858e+01 2.5632e+00 7.8780e-01
7.2043e+01 2.1058e+00 8.2919e-01
7.4066e+01 -2.5129e+00 8.0265e-01
7.6910e+01 1.2325e+00 4.5441e-01
7.8004e+01 4.2614e+00 2.0049e+00
7.8112e+01 2.0321e+00 4.9678e-01
7.8701e+01 2.5850e+00 1.8684e+00
